1711556;всѣхъ;вьсь;Px;-p---ml--i;-p---ma--i:въсѧ,вьсꙗ,вьсѧ|-p---mn--i:вьси,в꙽си,вохи|-s---fd--i:вьсеи,все и|-p---na--i:вьсѧ,вьсꙗ|-s---na--i:вьсе,вохо|-p---fn--i:вси,всѣ,все|-s---fa--i:вьсю,въсю|-s---nn--i:вьсе|-s---fn--i:вьсꙗ,вьсѧ,в[сѧ|-p---mi--i:вьсѣми|-p---fa--i:вьсꙗ,вьсѣ,вьсѧ|-s---ma--i:весь,вьсь,весъ,въсь|-p---md--i:вьсѣмъ|-s---ni--i:вьсѣмь|-s---mn--i:весь,вьсь|-s---nl--i:вьсемь|-p---fd--i:вьсѣмъ|-p---nn--i:вьсꙗ,вьсѧ|-s---mg--i:вьсего|-p---ni--i:всѣми|-s---ng--i:вьсего|-s---md--i:въсемѹ,всѣмоу,всемоу,Всемоу|-s---fg--i:вьсеꙗ|-s---fl--i:всеи,всѣи,всей|-s---fi--i:вьсею|-s---nd--i:всему,всѧмѹ,всемѹ,всѣмѹ,всемꙋ|-s---mi--i:всѣмъ|-s---ml--i:вьсемь|-p---nd--i:вьсѣмъ|-p---fi--i:вьсѣми
1711557;кривичѣхъ;кривичи;Ne;-p---ml--i;no distractor
1711558;а;а;C-;---------n;no distractor
1711559;козари;козаре;Ne;-p---mn--i;no distractor
1711560;имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
1711561;на;на;R-;---------n;no distractor
1711562;полѧнѣх;полянинъ;Ne;-p---ml--i;no distractor
1711563;и;и;C-;---------n;no distractor
1711564;на;на;R-;---------n;no distractor
1711565;сѣверѣх;сѣверянинъ;Ne;-p---ml--i;no distractor
1711566;и;и;C-;---------n;no distractor
1711567;на;на;R-;---------n;no distractor
1711568;вѧтичѣхъ;вятичи;Ne;-p---ml--i;no distractor
1711569;имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
1711570;по;по;R-;---------n;no distractor
1711571;бѣлѣ;бѣла;Nb;-s---fd--i;-s---fi--i:бѣлью|-s---fa--i:белѹ|-s---fg--i:беле
1711572;и;и;C-;---------n;no distractor
1711573;вѣверицѣ;вѣверица;Nb;-s---fd--i;no distractor
1711574;ѿ;отъ;R-;---------n;no distractor
1711575;дыма;дымъ;Nb;-s---mg--i;-s---mn--i:дымъ|-s---md--i:дыму|-s---ma--i:дымъ
1711576;въ;въ;R-;---------n;no distractor
1711577;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
1711578;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
1711579;т҃;трисъта;Ma;---------n;no distractor
1711580;ѯ҃;шестьдесятъ;Ma;---------n;no distractor
1711581;и҃;осмь;Ma;---------n;no distractor
1711582;въ;въ;R-;---------n;no distractor
1711583;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
1711584;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
1711585;т҃;трисъта;Ma;---------n;no distractor
1711586;ѯ҃;шестьдесятъ;Ma;---------n;no distractor
1711587;ѳ҃;девять;Ma;---------n;no distractor
1711588;Изъгнаша;изгънати;V-;3paia----i;3ppia----i:ижденуть|3saia----i:игзнъа|-suppmn-si:изгнанъ|-sspamn-si:ꙇзгнал|-pspamn-si:ꙇзгнали|1spia----i:изъжденѹ
1711589;варѧги;варягъ;Nb;-p---ma--i;-p---mn--i:варѧзи|-p---mg--i:варѧгъ|-p---md--i:варѧгомъ|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга
1711590;за;за;R-;---------n;no distractor
1711591;море;море;Nb;-s---na--i;-s---ng--i:морїꙗ|-s---nd--i:морю|-s---ni--i:моремъ,моремь|-p---ng--i:морь|-p---na--i:морѧ|-s---ma--i:мъре
1711592;и;и;C-;---------n;no distractor
1711593;не;не;Df;---------n;no distractor
1711594;даша;дати;V-;3paia----i;3siia----i:дадѧшеть|3saia----i:дастъ,дасть|3spia----i:дасть,дастъ|3ppia----i:дадоуть|-sspamn-si:далъ|1spia----i:дамъ,дамь|2ppma----i:дадите|1saia----i:дахъ|--pna----i:да[т]и|2spma----i:даждь|3piia----i:дадѧху|3spma----i:дажь|1dpia----i:давѣ|-supamn-si:давъ|-supamg-wi:давъшаго,дав꙽шаго|2ppia----i:дадите|-suppfn-si:дана|2spia----i:дашъ,даси|-suppnn-si:дано,данѡ|-pppamn-si:дадуче,дадѹще,дадѹце|-pspamn-si:дали|-sspafn-si:дала|-puppmn-si:даны|-sppamn-si:дада|-sppamn-wi:дадыи|1ppia----i:дадимъ|-suppmd-wi:дав꙽шемѹ|-puppfn-si:даны|1paia----i:дахомъ|-supafn-si:давши|-pppamd-wi:дадущимъ|-sppamd-si:дадущю,дадучю|-pupamn-si:давше
1711595;имъ;и;Pp;3p---md--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---ml--i:нихъ,нихʼ,них҃|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3p---fa--i:нѣ|3s---na--i:е же|3p---mg--i:нихъ,нїхъ,нихʼ|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---fg--i:нихъ|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3p---fl--i:нихъ|3p---fi--i:ними|3p---nl--i:нихъ|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---ni--i:ими|3s---nd--i:емѹ
1711596;дани;дань;Nb;-s---fg--i;-s---fa--i:дань|-s---fn--i:дань|-s---fi--i:данью,данию|-p---fg--i:данеи|-p---fi--i:дан꙽ми,даньми
1711597;и;и;C-;---------n;no distractor
1711598;почаша;почати;V-;3paia----i;1ppia----i:Почнемъ|-pspamn-si:почали|3saia----i:Поча,поча,поцѧ,почѧ|3spia----i:почьнеть|-sspamn-si:почалъ,почѧлъ|2spia----i:поцьньши|--pna----i:почнет|3daia----i:почаста,почѧста|1saia----i:почаяхъ|-suppfn-si:Почата|-suppna-wi:початое|-suppfn-wi:початаѧ|-puppmn-wi:початые|-supamn-si:поченъ|1spia----i:почну|3ppia----i:почнутъ
1711599;сами;самъ;Pd;-p---mn--i;-s---mi--i:самѣмъ|-s---mn--i:самъ,самʼ,сам꙽,саме|-p---mi--i:самѣми|-s---fn--i:сама|-p---nl--i:самѣхъ|-d---md--i:самѣма|-d---mn--i:сама|-s---md--i:самому,самамѹ,самомѹ,сомомѹ,Самомѹ|-s---mg--i:самого,самаго|-p---mg--i:самѣхъ,самыхъ|-p---ma--i:самыя|-s---fd--i:самой,самои|-s---fl--i:самои|-p---md--i:самимъ,самымъ|-s---fg--i:самыя|-s---ng--i:самого|-s---nn--i:самое|-p---fl--i:самѣхъ|-p---fg--i:самѣх|-s---na--i:самое|-s---nl--i:самом|-s---fa--i:саму|-d---mg--i:самаю
1711600;в;въ;R-;---------n;no distractor
1711601;собѣ;себе;Pk;3s---ml--i;3s---qa--i:стѧ,сиѧ,с꙽ѧ|3p---ma--i:сѧ|3s---ma--i:собѧ,себѧ|3s---qg--i:собе,себе,себѧ,себя|3s---mi--i:соб[ою|3s---fi--i:собою|3s---mg--i:себе,собе,собя,себя,собѧ,себѣ,себѧ|3s---qi--i:собою|3s---ql--i:себѣ,собе|3s---fg--i:себѧ,сѣбѧ,себе|3s---fa--i:сїѧ|3p---mi--i:собою|3d---md--i:себе,себѣ|3s---nd--i:си|3s---ni--i:собою|3p---mg--i:себѣ,себе
1711602;володѣти;володѣти;V-;--pna----i;-pppamd-si:володѣющемъ|3ppia----i:володѣють|-sspamn-si:володѣлъ|-sppamn-si:володѣя
1711603;и;и;C-;---------n;no distractor
1711604;не;не;Df;---------n;no distractor
1711605;бѣ;быти;V-;3siia----i;3spia----i:есть,етсь,ѥсть,естъ,есте|-pppamd-wi:сѹщиимъ|3saia----i:бысть,бꙑсть,быстъ,быстʼ|3ppia----i:бдуть,соуть|-pppama-wi:сущая,сѹщаѧ|3pfia----i:боудоуть|-supamn-si:бывше|3piia----i:бѣахѹть|3paia----i:быша,бꙑша|-sspamn-si:былъ,был꙽,бꙑлъ,бꙑло,бꙑле|--pna----i:быти,бꙑти,быть,Быти|-pppamn-si:соущи,соуще|3diia----i:бѧста,бѣста,беста|1piia----i:бѧхомъ|-pspann-si:была,были|-sppafd-wi:сущеи,сѹщеи|-sppafd-si:сущи,суще,сѹщи,сѹще|-sppamg-si:соуща|1spia----i:ес꙽мь,есемо,есьмь,есьмъ|3spma----i:буди,бѹди,бѹдь,бꙋди|3daia----i:быста,бѣста,бꙑста|3sfia----i:боудеть,боудетъ,боудѣте,боудѣть,боудѣтѣ|-supafd-si:бывъши|-supanl-wi:бывшемъ|-supang-wi:бывшаго|-sfpama-wi:будущии,будущїи,бѹдѹщии,бѹдѹщиї|-sfpamn-wi:будущии|-pppamg-wi:сѹщиихъ|1ppia----i:ес꙽мы|-pfpama-wi:будущая|2spia----i:бѹдеши,бѹдьше|1paia----i:быхомъ,быхъмъ|2ppia----i:есте,ѥсте,естя,єсте|-pupamn-si:бывъше|-sppafa-si:сущю,сѹщю,сѹщȣ,сѹщѹ|-supafn-si:бывши|1sfia----i:буду,бѹдѹ|2spma----i:буди,бѹди,бꙋди|-sppafn-si:соущи|-pupana-wi:бывшая|1pfia----i:будемъ|-sspafn-si:была|-pspamn-si:были,Были|2paia----i:бысте,бѣсте|-sppang-wi:сущаго,сѹщаго|2dfia----i:будета|3dpia----i:еста,ѥста|2sfia----i:бѹдеш]и|-pupamd-wi:бывшимъ|-supamd-si:бывъшю,быв꙽шѹ|-sppamn-wi:соущїи|-sspann-si:был҃о|-supana-wi:бывъшеѥ|-supafa-si:бывшю,бывши|-pppama-si:суща,сѹща|-pppamd-si:сущемъ,сѹщемъ|-sppamd-si:сущю,сѹщю,сущу,сѹщѹ,сѹщȣ,сꙋщꙋ,сѹщꙋ|1saia----i:быхъ,бѧхъ,бꙑхо|2daia----i:быста|-dppamn-si:суща|2dpia----i:еста,ѥста|-sppafa-wi:сущюю|-sppama-si:сущи,сѹщь|-sppand-si:соущꙋ|2pfia----i:боудѣте|1dpia----i:есвѣ,есвҍ|1siia----i:бѣхъ|1dfia----i:будевѣ,бѹдевѣ|-pspafn-si:были|-supand-si:бывъшю,быв꙽шѹ|-sppamg-wi:сѹщааго|-pppamn-wi:соущїи|-pppami-wi:сѹщиими|-sfpamg-wi:бѹдѹщаго|-dppamg-si:сѹщю|-dupamg-si:бывъшю|2saia----i:бысть|2ppma----i:будѣте|-sfpaml-wi:бѹдѹщемъ|-pppann-wi:сущие|-sppann-wi:сущее|-supamn-wi:бывыи,бывьї|-sppamn-si:сѹщь,буда|-supamg-si:бывъша|-pppaml-wi:сѹщиихъ|-sppann-si:сѹще|-pppana-si:сѹща|-sppafn-wi:сѹщаꙗ,сѹщаѧ|-sppana-si:сѹще|-pppang-wi:сѹщиихъ,бѹдꙋщих|-sppama-wi:сѹщии|-pppana-wi:соущаѧ|-pppand-si:сѹщемъ|-sppamd-wi:сѹщюѹмѹ|-pupamn-wi:бывъшеи|1ppma----i:бѹдѣмъ|-pupamd-si:бывъшемъ|-sppang-si:сѹща|-dppamd-si:сѹщема|-pupamg-wi:бывъшиихъ|-pppafd-wi:соущимъ|-supafa-wi:бывшꙋю,бывшюю|-supamg-wi:быв꙽шаго|-sfpang-wi:бѹдꙋщаго|-pfpann-wi:бѹдѹщаѧ|-supann-wi:быв꙽шее|-pfpand-wi:бѹдꙋщим|-sfpana-wi:бѹдꙋщее|-pfpana-wi:бѹдꙋщаѧ,будущая|-pupang-wi:быв꙽шихъ|-sppana-wi:сѹщее|-pupama-wi:быв꙽шаѧ|-dspamn-si:была|-supama-wi:бывшии|-pppann-si:суща|-dupamg-wi:бывшею|-supang-si:бывша
1711606;в;въ;R-;---------n;no distractor
1711607;нихъ;и;Pp;3p---ml--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---md--i:им же|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3s---mi--i:нимъ,немъ,нимь,нїмь,ним꙽,дним,нимо|3p---fa--i:нѣ|3s---na--i:е же|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3s---ni--i:имь,имъ|3p---fd--i:нимъ|3p---fi--i:ними|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---nd--i:нимъ|3p---ni--i:ими|3s---nd--i:емѹ
1711608;правды;правьда;Nb;-s---fg--i;-s---fa--i:правьду,правдоу,правьдѹ|-s---fn--i:пр҃вда,правда|-s---fd--i:правдѣ|-s---fi--i:правдою|-s---fl--i:правде,правдѣ
1711609;и;и;C-;---------n;no distractor
1711610;въста;въстати;V-;3saia----i;-supamn-si:возставше|-pupamd-si:въставшемь|--pna----i:въстати,востати|2spma----i:въстани,востани|3paia----i:въсташа,Въсташа,восташа|-pupamn-si:воставше|3daia----i:встаста|-sspamn-si:всталъ|2ppma----i:встанѣте|3spia----i:встанеть,въстаеть|3piia----i:востаху|-sspafn-si:востала,въстала,Въстала|-supafn-si:въставъши|-pspamn-si:встали|3siia----i:въстанꙗше|-supamg-si:въставъша|-supamd-si:въставшꙋ|-sppamd-si:встанущю
1711611;родъ;родъ;Nb;-s---mn--i;-p---mi--i:роды|-s---mi--i:родомъ,родомь,родъмь|-s---ml--i:родѣ,родꙋ,родѹ|-s---mg--i:рода,рада,роду|-p---md--i:родомъ|-p---ma--i:роды,роди|-s---md--i:родоу|-p---mn--i:роди|-p---mg--i:родовъ
1711612;на;на;R-;---------n;no distractor
1711613;родъ;родъ;Nb;-s---ma--i;-p---mi--i:роды|-s---mi--i:родомъ,родомь,родъмь|-s---ml--i:родѣ,родꙋ,родѹ|-s---mg--i:рода,рада,роду|-p---md--i:родомъ|-p---ma--i:роды,роди|-s---md--i:родоу|-p---mn--i:роди|-p---mg--i:родовъ
1711614;быша;быти;V-;3saia----i;3spia----i:есть,етсь,ѥсть,естъ,есте|-pppamd-wi:сѹщиимъ|3ppia----i:бдуть,соуть|3siia----i:будѧше,бѧшеть,бѹдꙗше,бѹдѧше,бꙋдѧше,бяшетъ,Бяшеть|-pppama-wi:сущая,сѹщаѧ|3pfia----i:боудоуть|-supamn-si:бывше|3piia----i:бѣахѹть|-sspamn-si:былъ,был꙽,бꙑлъ,бꙑло,бꙑле|--pna----i:быти,бꙑти,быть,Быти|-pppamn-si:соущи,соуще|3diia----i:бѧста,бѣста,беста|1piia----i:бѧхомъ|-pspann-si:была,были|-sppafd-wi:сущеи,сѹщеи|-sppafd-si:сущи,суще,сѹщи,сѹще|-sppamg-si:соуща|1spia----i:ес꙽мь,есемо,есьмь,есьмъ|3spma----i:буди,бѹди,бѹдь,бꙋди|3daia----i:быста,бѣста,бꙑста|3sfia----i:боудеть,боудетъ,боудѣте,боудѣть,боудѣтѣ|-supafd-si:бывъши|-supanl-wi:бывшемъ|-supang-wi:бывшаго|-sfpama-wi:будущии,будущїи,бѹдѹщии,бѹдѹщиї|-sfpamn-wi:будущии|-pppamg-wi:сѹщиихъ|1ppia----i:ес꙽мы|-pfpama-wi:будущая|2spia----i:бѹдеши,бѹдьше|1paia----i:быхомъ,быхъмъ|2ppia----i:есте,ѥсте,естя,єсте|-pupamn-si:бывъше|-sppafa-si:сущю,сѹщю,сѹщȣ,сѹщѹ|-supafn-si:бывши|1sfia----i:буду,бѹдѹ|2spma----i:буди,бѹди,бꙋди|-sppafn-si:соущи|-pupana-wi:бывшая|1pfia----i:будемъ|-sspafn-si:была|-pspamn-si:были,Были|2paia----i:бысте,бѣсте|-sppang-wi:сущаго,сѹщаго|2dfia----i:будета|3dpia----i:еста,ѥста|2sfia----i:бѹдеш]и|-pupamd-wi:бывшимъ|-supamd-si:бывъшю,быв꙽шѹ|-sppamn-wi:соущїи|-sspann-si:был҃о|-supana-wi:бывъшеѥ|-supafa-si:бывшю,бывши|-pppama-si:суща,сѹща|-pppamd-si:сущемъ,сѹщемъ|-sppamd-si:сущю,сѹщю,сущу,сѹщѹ,сѹщȣ,сꙋщꙋ,сѹщꙋ|1saia----i:быхъ,бѧхъ,бꙑхо|2daia----i:быста|-dppamn-si:суща|2dpia----i:еста,ѥста|-sppafa-wi:сущюю|-sppama-si:сущи,сѹщь|-sppand-si:соущꙋ|2pfia----i:боудѣте|1dpia----i:есвѣ,есвҍ|1siia----i:бѣхъ|1dfia----i:будевѣ,бѹдевѣ|-pspafn-si:были|-supand-si:бывъшю,быв꙽шѹ|-sppamg-wi:сѹщааго|-pppamn-wi:соущїи|-pppami-wi:сѹщиими|-sfpamg-wi:бѹдѹщаго|-dppamg-si:сѹщю|-dupamg-si:бывъшю|2saia----i:бысть|2ppma----i:будѣте|-sfpaml-wi:бѹдѹщемъ|-pppann-wi:сущие|-sppann-wi:сущее|-supamn-wi:бывыи,бывьї|-sppamn-si:сѹщь,буда|-supamg-si:бывъша|2siia----i:бѣ|-pppaml-wi:сѹщиихъ|-sppann-si:сѹще|-pppana-si:сѹща|-sppafn-wi:сѹщаꙗ,сѹщаѧ|-sppana-si:сѹще|-pppang-wi:сѹщиихъ,бѹдꙋщих|-sppama-wi:сѹщии|-pppana-wi:соущаѧ|-pppand-si:сѹщемъ|-sppamd-wi:сѹщюѹмѹ|-pupamn-wi:бывъшеи|1ppma----i:бѹдѣмъ|-pupamd-si:бывъшемъ|-sppang-si:сѹща|-dppamd-si:сѹщема|-pupamg-wi:бывъшиихъ|-pppafd-wi:соущимъ|-supafa-wi:бывшꙋю,бывшюю|-supamg-wi:быв꙽шаго|-sfpang-wi:бѹдꙋщаго|-pfpann-wi:бѹдѹщаѧ|-supann-wi:быв꙽шее|-pfpand-wi:бѹдꙋщим|-sfpana-wi:бѹдꙋщее|-pfpana-wi:бѹдꙋщаѧ,будущая|-pupang-wi:быв꙽шихъ|-sppana-wi:сѹщее|-pupama-wi:быв꙽шаѧ|-dspamn-si:была|-supama-wi:бывшии|-pppann-si:суща|-dupamg-wi:бывшею|-supang-si:бывша
1711615;в;въ;R-;---------n;no distractor
1711616;них;и;Pp;3p---ml--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---md--i:им же|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3s---mi--i:нимъ,немъ,нимь,нїмь,ним꙽,дним,нимо|3p---fa--i:нѣ|3s---na--i:е же|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---fg--i:нихъ|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3s---ni--i:имь,имъ|3p---fd--i:нимъ|3p---fi--i:ними|3p---nl--i:нихъ|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---nd--i:нимъ|3p---ni--i:ими|3s---nd--i:емѹ
1711617;усобицѣ;усобица;Nb;-p---fn--i;-s---fn--i:оусобица|-s---fg--i:оусобицѣ|-p---fa--i:усобіцѣ|-p---fi--i:усобицами
1711618;и;и;C-;---------n;no distractor
1711619;воевати;воевати;V-;--pna----i;3piia----i:воеваху|3spia----i:воюеть,воюетъ|3ppia----i:воюють|-sppamn-si:воюя|1ppia----i:воюемъ,воюѥмъ|---u--a--i:воеватъ,воѥватъ|-pupamn-si:воевавше|-pppamd-wi:воюющим|3paia----i:Воеваша,воеваша,воѥваша|-pppamn-si:воюючи,воююче|3saia----i:воева,воѥва|2paia----i:воевасте|-sspamn-si:воевалъ|3siia----i:воеваше
1711620;почаша;почати;V-;3paia----i;1ppia----i:Почнемъ|-pspamn-si:почали|3saia----i:Поча,поча,поцѧ,почѧ|3spia----i:почьнеть|-sspamn-si:почалъ,почѧлъ|2spia----i:поцьньши|--pna----i:почнет|3daia----i:почаста,почѧста|1saia----i:почаяхъ|-suppfn-si:Почата|-suppna-wi:початое|-suppfn-wi:початаѧ|-puppmn-wi:початые|-supamn-si:поченъ|1spia----i:почну|3ppia----i:почнутъ
1711621;сами;самъ;Pd;-p---mn--i;-s---mi--i:самѣмъ|-s---mn--i:самъ,самʼ,сам꙽,саме|-p---mi--i:самѣми|-s---fn--i:сама|-p---nl--i:самѣхъ|-d---md--i:самѣма|-d---mn--i:сама|-s---md--i:самому,самамѹ,самомѹ,сомомѹ,Самомѹ|-s---mg--i:самого,самаго|-p---mg--i:самѣхъ,самыхъ|-p---ma--i:самыя|-s---fd--i:самой,самои|-s---fl--i:самои|-p---md--i:самимъ,самымъ|-s---fg--i:самыя|-s---ng--i:самого|-s---nn--i:самое|-p---fl--i:самѣхъ|-p---fg--i:самѣх|-s---na--i:самое|-s---nl--i:самом|-s---fa--i:саму|-d---mg--i:самаю
1711622;на;на;R-;---------n;no distractor
1711623;сѧ;себе;Pk;3s---ma--i;3s---qd--i:собѣ,себе,себѣ|3s---md--i:собѣ,себе,собе,себѣ,Себѣ,сѣбѣ|3p---md--i:собѣ,себѣ|3s---ml--i:собѣ,себѣ,себе,СЕБѢ,сѣбѣ,събѣ|3s---qg--i:собе,себе,себѧ,себя|3s---fd--i:собѣ,сѣбе,себѣ,собҍ|3s---mi--i:соб[ою|3s---fi--i:собою|3s---mg--i:себе,собе,собя,себя,собѧ,себѣ,себѧ|3s---qi--i:собою|3s---ql--i:себѣ,собе|3s---fg--i:себѧ,сѣбѧ,себе|3s---fl--i:себѣ,собѣ|3s---fa--i:сїѧ|3p---mi--i:собою|3d---md--i:себе,себѣ|3s---nd--i:си|3s---ni--i:собою|3p---mg--i:себѣ,себе
